ISU Two-body matrix elements
Operator: Toy
Relevant constants: None
Quantum numbers: s' = 1, j' = 1, t' = 0, s = 1, j = 1, t = 0
nmax = 200, lmax = 2, NMAX = 10, LMAX = 0
N	L	n	l	Np	Lp	np	lp	Matrix Element
2	0	20	0	2	0	20	0	2.923113
2	0	21	0	2	0	21	0	2.945092
2	0	22	0	2	0	22	0	2.966572
2	0	23	0	2	0	23	0	2.987584
2	0	24	0	2	0	24	0	3.008159
2	0	25	0	2	0	25	0	3.028322
2	0	26	0	2	0	26	0	3.048097
2	0	27	0	2	0	27	0	3.067507
2	0	28	0	2	0	28	0	3.086569
2	0	29	0	2	0	29	0	3.105303
2	0	30	0	2	0	30	0	3.123725
2	0	31	0	2	0	31	0	3.141849
2	0	32	0	2	0	32	0	3.159691
2	0	33	0	2	0	33	0	3.177262
2	0	34	0	2	0	34	0	3.194575
2	0	35	0	2	0	35	0	3.211640
2	0	36	0	2	0	36	0	3.228468
2	0	37	0	2	0	37	0	3.245069
2	0	38	0	2	0	38	0	3.261452
2	0	39	0	2	0	39	0	3.277624
2	0	40	0	2	0	40	0	3.293594
2	0	41	0	2	0	41	0	3.309370
2	0	42	0	2	0	42	0	3.324958
2	0	43	0	2	0	43	0	3.340364
2	0	44	0	2	0	44	0	3.355596
2	0	45	0	2	0	45	0	3.370658
2	0	46	0	2	0	46	0	3.385556
2	0	47	0	2	0	47	0	3.400296
2	0	48	0	2	0	48	0	3.414883
2	0	49	0	2	0	49	0	3.429320
2	0	50	0	2	0	50	0	3.443613
2	0	51	0	2	0	51	0	3.457766
2	0	52	0	2	0	52	0	3.471783
2	0	53	0	2	0	53	0	3.485668
2	0	54	0	2	0	54	0	3.499424
2	0	55	0	2	0	55	0	3.513056
2	0	56	0	2	0	56	0	3.526565
2	0	57	0	2	0	57	0	3.539956
2	0	58	0	2	0	58	0	3.553231
2	0	59	0	2	0	59	0	3.566394
2	0	60	0	2	0	60	0	3.579448
2	0	61	0	2	0	61	0	3.592394
2	0	62	0	2	0	62	0	3.605236
2	0	63	0	2	0	63	0	3.617976
2	0	64	0	2	0	64	0	3.630616
2	0	65	0	2	0	65	0	3.643159
2	0	66	0	2	0	66	0	3.655608
2	0	67	0	2	0	67	0	3.667963
2	0	68	0	2	0	68	0	3.680227
2	0	69	0	2	0	69	0	3.692403
2	0	70	0	2	0	70	0	3.704491
2	0	71	0	2	0	71	0	3.716495
2	0	72	0	2	0	72	0	3.728415
2	0	73	0	2	0	73	0	3.740253
2	0	74	0	2	0	74	0	3.752012
2	0	75	0	2	0	75	0	3.763692
2	0	76	0	2	0	76	0	3.775295
2	0	77	0	2	0	77	0	3.786823
2	0	78	0	2	0	78	0	3.798277
2	0	79	0	2	0	79	0	3.809659
2	0	80	0	2	0	80	0	3.820969
2	0	81	0	2	0	81	0	3.832210
2	0	82	0	2	0	82	0	3.843382
2	0	83	0	2	0	83	0	3.854486
2	0	84	0	2	0	84	0	3.865525
2	0	85	0	2	0	85	0	3.876499
2	0	86	0	2	0	86	0	3.887408
2	0	87	0	2	0	87	0	3.898256
2	0	88	0	2	0	88	0	3.909041
2	0	89	0	2	0	89	0	3.919766
2	0	90	0	2	0	90	0	3.930431
2	0	91	0	2	0	91	0	3.941038
2	0	92	0	2	0	92	0	3.951587
2	0	93	0	2	0	93	0	3.962080
2	0	94	0	2	0	94	0	3.972516
2	0	95	0	2	0	95	0	3.982898
2	0	96	0	2	0	96	0	3.993226
2	0	97	0	2	0	97	0	4.003500
2	0	98	0	2	0	98	0	4.013722
2	0	99	0	2	0	99	0	4.023892
2	0	100	0	2	0	100	0	4.034012
2	0	101	0	2	0	101	0	4.044081
2	0	102	0	2	0	102	0	4.054101
2	0	103	0	2	0	103	0	4.064072
2	0	104	0	2	0	104	0	4.073996
2	0	105	0	2	0	105	0	4.083872
2	0	106	0	2	0	106	0	4.093702
2	0	107	0	2	0	107	0	4.103485
2	0	108	0	2	0	108	0	4.113224
2	0	109	0	2	0	109	0	4.122917
2	0	110	0	2	0	110	0	4.132567
2	0	111	0	2	0	111	0	4.142173
2	0	112	0	2	0	112	0	4.151736
2	0	113	0	2	0	113	0	4.161257
2	0	114	0	2	0	114	0	4.170737
2	0	115	0	2	0	115	0	4.180175
2	0	116	0	2	0	116	0	4.189572
2	0	117	0	2	0	117	0	4.198929
2	0	118	0	2	0	118	0	4.208246
2	0	119	0	2	0	119	0	4.217525
2	0	120	0	2	0	120	0	4.226764
2	0	121	0	2	0	121	0	4.235966
2	0	122	0	2	0	122	0	4.245130
2	0	123	0	2	0	123	0	4.254256
2	0	124	0	2	0	124	0	4.263346
2	0	125	0	2	0	125	0	4.272399
2	0	126	0	2	0	126	0	4.281417
2	0	127	0	2	0	127	0	4.290399
2	0	128	0	2	0	128	0	4.299346
2	0	129	0	2	0	129	0	4.308258
2	0	130	0	2	0	130	0	4.317136
2	0	131	0	2	0	131	0	4.325980
2	0	132	0	2	0	132	0	4.334790
2	0	133	0	2	0	133	0	4.343568
2	0	134	0	2	0	134	0	4.352312
2	0	135	0	2	0	135	0	4.361025
2	0	136	0	2	0	136	0	4.369705
2	0	137	0	2	0	137	0	4.378354
2	0	138	0	2	0	138	0	4.386971
2	0	139	0	2	0	139	0	4.395557
2	0	140	0	2	0	140	0	4.404113
2	0	141	0	2	0	141	0	4.412638
2	0	142	0	2	0	142	0	4.421133
2	0	143	0	2	0	143	0	4.429598
2	0	144	0	2	0	144	0	4.438035
2	0	145	0	2	0	145	0	4.446442
2	0	146	0	2	0	146	0	4.454820
2	0	147	0	2	0	147	0	4.463170
2	0	148	0	2	0	148	0	4.471491
2	0	149	0	2	0	149	0	4.479785
2	0	150	0	2	0	150	0	4.488051
2	0	151	0	2	0	151	0	4.496289
2	0	152	0	2	0	152	0	4.504501
2	0	153	0	2	0	153	0	4.512685
2	0	154	0	2	0	154	0	4.520843
2	0	155	0	2	0	155	0	4.528975
2	0	156	0	2	0	156	0	4.537081
2	0	157	0	2	0	157	0	4.545161
2	0	158	0	2	0	158	0	4.553215
2	0	159	0	2	0	159	0	4.561244
2	0	160	0	2	0	160	0	4.569248
2	0	161	0	2	0	161	0	4.577227
2	0	162	0	2	0	162	0	4.585181
2	0	163	0	2	0	163	0	4.593111
2	0	164	0	2	0	164	0	4.601017
2	0	165	0	2	0	165	0	4.608899
2	0	166	0	2	0	166	0	4.616757
2	0	167	0	2	0	167	0	4.624592
